type_chaussure,prix,adresse,image_link
Chaussures Nike Jordan,18.000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5179175_uploaded_image1_1739198783.jpg
Chaussures  Air Jordan,25.000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5179168_uploaded_image1_1739198279.jpg
Chaussures Nike Air,22.000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5179104_uploaded_image1_1739196241.jpg
Chaussures Parada Milano,16.000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5177848_uploaded_image1_1739130539.jpg
Baskets Adidas,15.000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5177843_uploaded_image1_1739130312.jpg
Chaussures Louis Vuitton,40.000,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5140176_uploaded_image1_1737136642.jpg
Chaussures homme,20.000,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5129157_uploaded_image1_1736533953.jpg
Chaussures bottes moto,30.000,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_5176998_uploaded_image1_1739057835.jpg
Chaussures Dior b30,30.000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5176593_uploaded_image1_1739030967.jpg
Tout terrain,20.000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5145823_uploaded_image1_1737473366.jpg
Chaussures de ville,15.000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5145826_uploaded_image1_1737473583.jpg
chaussure ouverte,20.000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5145127_uploaded_image1_1737450607.jpg
mocassin alden,18.000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5145122_uploaded_image1_1737450413.jpg
mocassin classique,15.000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5145116_uploaded_image1_1737450247.jpg
Mocassin pierre cardin,10.000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5144361_uploaded_image1_1737399759.jpg
Chaussures Jordan 11,10.000,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_5175476_uploaded_image1_1738955928.jpg
Chaussures en cuir,25.000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5149739_uploaded_image1_1737648314.jpg
Sandales Gucci,15.000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5127678_uploaded_image1_1736452468.jpg
Sandales Gucci,15.000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5127684_uploaded_image1_1736452819.jpg
Sandales Burbery,15.000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5127688_uploaded_image1_1736452967.jpg
