web-scraper-order,web-scraper-start-url,Chaussure,Chaussure-href,type_chaussure,prix,adresse,Image-src
"1739299308-1","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-sebago-2324457","Chaussures Sebago","10 000 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2362721_uploaded_image1_1593386610.jpg"
"1739299311-2","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-sebago-2324459","Chaussures Sebago","10 000 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2362721_uploaded_image1_1593386610.jpg"
"1739299313-3","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-sebago-2324460","Chaussures Sebago","10 000 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2362721_uploaded_image1_1593386610.jpg"
"1739299316-4","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-sebago-2324461","Chaussures Sebago","10 000 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2362721_uploaded_image1_1593386610.jpg"
"1739299318-5","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-sebago-2324463","Chaussures Sebago","10 000 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2362721_uploaded_image1_1593386610.jpg"
"1739299321-6","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-sebago-2324465","Chaussures Sebago","10 000 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2362721_uploaded_image1_1593386610.jpg"
"1739299323-7","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-sebago-2324468","Chaussures Sebago","10 000 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2362721_uploaded_image1_1593386610.jpg"
"1739299326-8","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-sebago-2324471","Chaussures Sebago","10 000 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2362721_uploaded_image1_1593386610.jpg"
"1739299329-9","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-sebago-2324472","Chaussures Sebago","10 000 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2362721_uploaded_image1_1593386610.jpg"
"1739299331-10","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-sebago-2324474","Chaussures Sebago","10 000 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2362721_uploaded_image1_1593386610.jpg"
"1739299334-11","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-sebago-2324475","Chaussures Sebago","10 000 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2362721_uploaded_image1_1593386610.jpg"
"1739299337-12","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-sebago-2324479","Chaussures Sebago","10 000 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2362721_uploaded_image1_1593386610.jpg"
